Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Dominik Szoboszlai,hu HUN,MF,Liverpool,23-361,2000,7,6,537,6,0,1,1,0,0,0,2,0,1.2,1.2,1.1,2.3,17,23,25,0,0.17,0.17,0,0.17,0.21,0.18,0.39,0.21,0.39,Matches
Dwight McNeil,eng ENG,"MF,FW",Everton,24-333,1999,8,8,712,7.9,3,3,6,3,0,0,1,0,0.6,0.6,2.6,3.2,16,39,37,0.38,0.38,0.76,0.38,0.76,0.08,0.33,0.41,0.08,0.41,Matches
Eberechi Eze,eng ENG,"MF,FW",Crystal Palace,26-113,1998,7,7,629,7,1,0,1,1,0,0,0,0,2.5,2.5,0.8,3.3,20,39,49,0.14,0,0.14,0.14,0.14,0.36,0.11,0.47,0.36,0.47,Matches
Eddie Nketiah,eng ENG,"MF,FW",Crystal Palace,25-143,1999,4,4,317,3.5,0,0,0,0,0,0,1,0,0.6,0.6,0.1,0.8,10,6,19,0,0,0,0,0,0.18,0.04,0.22,0.18,0.22,Matches
Ederson,br BRA,GK,Manchester City,31-064,1993,7,7,630,7,0,1,1,0,0,0,3,0,0,0,0.4,0.4,0,1,0,0,0.14,0.14,0,0.14,0,0.05,0.05,0,0.05,Matches
Edson Álvarez,mx MEX,"MF,DF",West Ham,26-362,1997,6,3,274,3,0,0,0,0,0,0,2,0,0.1,0.1,0.1,0.2,1,13,3,0,0,0,0,0,0.02,0.05,0.07,0.02,0.07,Matches
Elliot Anderson,eng ENG,"MF,FW",Nott'ham Forest,21-349,2002,7,6,421,4.7,0,1,1,0,0,0,1,0,0.2,0.2,0.2,0.4,9,17,21,0,0.21,0.21,0,0.21,0.05,0.03,0.09,0.05,0.09,Matches
Emerson Palmieri,it ITA,DF,West Ham,30-078,1994,8,8,593,6.6,0,0,0,0,0,0,2,0,0.1,0.1,0.8,0.8,10,22,30,0,0,0,0,0,0.01,0.12,0.13,0.01,0.13,Matches
Emi Buendía,ar ARG,"MF,FW",Aston Villa,27-300,1996,4,0,23,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,2,3,4,0,0,0,0,0,0.34,0,0.34,0.34,0.34,Matches
Emil Krafth,se SWE,DF,Newcastle Utd,30-079,1994,3,2,241,2.7,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,1,0,0,0,0,0,0,0.01,0.03,0.05,0.01,0.05,Matches
Emile Smith Rowe,eng ENG,MF,Fulham,24-084,2000,8,7,549,6.1,2,1,3,2,0,0,1,0,1.5,1.5,0.4,1.9,16,33,31,0.33,0.16,0.49,0.33,0.49,0.24,0.07,0.31,0.24,0.31,Matches
Emiliano Martínez,ar ARG,GK,Aston Villa,32-048,1992,8,8,720,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Enes Ünal,tr TUR,FW,Bournemouth,27-163,1997,5,0,64,0.7,0,0,0,0,0,0,0,0,0.6,0.6,0.1,0.7,3,5,5,0,0,0,0,0,0.78,0.19,0.97,0.78,0.97,Matches
Enzo Fernández,ar ARG,MF,Chelsea,23-277,2001,6,6,511,5.7,0,0,0,0,0,0,1,0,0.3,0.3,1,1.3,4,31,16,0,0,0,0,0,0.05,0.18,0.23,0.05,0.23,Matches
Erling Haaland,no NOR,FW,Manchester City,24-091,2000,7,7,629,7,10,0,10,9,1,1,1,0,6.5,5.7,0.5,6.1,6,3,30,1.43,0,1.43,1.29,1.29,0.92,0.07,0.99,0.81,0.88,Matches
Ethan Nwaneri,eng ENG,"MF,FW",Arsenal,17-213,2007,3,0,21,0.2,0,0,0,0,0,0,0,0,0,0,0.1,0.1,3,2,4,0,0,0,0,0,0.09,0.45,0.54,0.09,0.54,Matches
Ethan Pinnock,jm JAM,DF,Brentford,31-144,1993,8,8,720,8,2,0,2,2,0,0,1,0,0.9,0.9,0.1,1,1,15,4,0.25,0,0.25,0.25,0.25,0.11,0.02,0.13,0.11,0.13,Matches
Evan Ferguson,ie IRL,FW,Brighton,20-001,2004,4,1,84,0.9,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,1,3,0,0,0,0,0,0.08,0,0.08,0.08,0.08,Matches
Evanilson,br BRA,FW,Bournemouth,25-014,1999,7,7,514,5.7,1,0,1,1,0,1,0,0,2.5,1.7,0.6,2.3,3,5,14,0.18,0,0.18,0.18,0.18,0.44,0.11,0.55,0.3,0.41,Matches
Ezri Konsa,eng ENG,DF,Aston Villa,26-363,1997,7,7,551,6.1,1,0,1,1,0,0,0,0,0.3,0.3,0,0.3,8,26,4,0.16,0,0.16,0.16,0.16,0.05,0,0.05,0.05,0.05,Matches
Fabian Schär,ch SUI,DF,Newcastle Utd,32-305,1991,6,6,477,5.3,1,0,1,1,0,0,2,1,0.6,0.6,0.2,0.8,3,25,6,0.19,0,0.19,0.19,0.19,0.12,0.04,0.16,0.12,0.16,Matches
Fabio Carvalho,pt POR,"FW,MF",Brentford,22-051,2002,8,2,261,2.9,1,1,2,1,0,0,0,0,1.1,1.1,0.5,1.7,5,7,10,0.34,0.34,0.69,0.34,0.69,0.39,0.18,0.58,0.39,0.58,Matches
Facundo Buonanotte,ar ARG,"FW,MF",Leicester City,19-302,2004,7,5,461,5.1,3,2,5,3,0,0,3,0,2,2,1.3,3.3,9,16,20,0.59,0.39,0.98,0.59,0.98,0.38,0.25,0.64,0.38,0.64,Matches
Federico Chiesa,it ITA,FW,Liverpool,26-361,1997,1,0,19,0.2,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,1,0,2,0,0,0,0,0,0.76,0,0.76,0.76,0.76,Matches
Ferdi Kadioglu,tr TUR,"DF,MF",Brighton,25-013,1999,4,3,228,2.5,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,1,13,15,0,0,0,0,0,0.08,0.05,0.13,0.08,0.13,Matches
Flynn Downes,eng ENG,MF,Southampton,25-274,1999,8,8,720,8,0,0,0,0,0,0,3,0,0.4,0.4,0.8,1.2,12,33,16,0,0,0,0,0,0.05,0.1,0.15,0.05,0.15,Matches
Frank Onyeka,ng NGA,MF,Brentford,26-293,1998,2,0,25,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Matches
Gabriel Jesus,br BRA,"FW,MF",Arsenal,27-200,1997,6,1,91,1,0,0,0,0,0,0,2,0,0.5,0.5,0.4,0.9,6,2,7,0,0,0,0,0,0.48,0.39,0.87,0.48,0.87,Matches
Gabriel Magalh?es,br BRA,DF,Arsenal,26-306,1997,8,8,720,8,2,0,2,2,0,0,1,0,1.4,1.4,0.3,1.7,2,23,4,0.25,0,0.25,0.25,0.25,0.18,0.03,0.22,0.18,0.22,Matches
Gabriel Martinelli,br BRA,"MF,FW",Arsenal,23-124,2001,8,5,467,5.2,2,2,4,2,0,0,0,0,1.3,1.3,1.6,3,29,11,56,0.39,0.39,0.77,0.39,0.77,0.26,0.31,0.57,0.26,0.57,Matches
George Edmundson,eng ENG,DF,Ipswich Town,27-050,1997,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
George Hirst,eng ENG,FW,Ipswich Town,25-248,1999,5,0,71,0.8,0,0,0,0,0,0,0,0,0.5,0.5,0,0.5,0,3,6,0,0,0,0,0,0.64,0.04,0.68,0.64,0.68,Matches
Georginio Rutter,fr FRA,"MF,FW",Brighton,22-183,2002,7,5,369,4.1,2,1,3,2,0,0,0,0,1.3,1.3,0.8,2.1,11,25,24,0.49,0.24,0.73,0.49,0.73,0.31,0.19,0.5,0.31,0.5,Matches
Gonçalo Guedes,pt POR,"MF,FW",Wolves,27-326,1996,4,0,70,0.8,0,0,0,0,0,0,0,0,0,0,0.1,0.1,1,1,6,0,0,0,0,0,0.05,0.14,0.19,0.05,0.19,Matches
Guglielmo Vicario,it ITA,GK,Tottenham,28-013,1996,8,8,720,8,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Matches
Guido Rodríguez,ar ARG,MF,West Ham,30-191,1994,8,8,599,6.7,0,0,0,0,0,0,2,0,0.1,0.1,0,0.1,1,20,2,0,0,0,0,0,0.01,0,0.01,0.01,0.01,Matches
Hamza Choudhury,eng ENG,MF,Leicester City,27-019,1997,1,0,15,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Harrison Armstrong,eng ENG,MF,Everton,17-275,2007,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Harrison Reed,eng ENG,MF,Fulham,29-267,1995,6,0,47,0.5,0,0,0,0,0,0,2,0,0,0,0.1,0.1,1,2,6,0,0,0,0,0,0,0.14,0.14,0,0.14,Matches
Harry Clarke,eng ENG,DF,Ipswich Town,23-232,2001,1,0,28,0.3,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,Matches
Harry Maguire,eng ENG,DF,Manchester Utd,31-229,1993,5,3,242,2.7,0,0,0,0,0,0,3,0,0,0,0,0.1,1,11,0,0,0,0,0,0,0.01,0.01,0.02,0.01,0.02,Matches
Harry Toffolo,eng ENG,DF,Nott'ham Forest,29-062,1995,1,0,37,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0.04,0,0.04,0.04,0.04,Matches
Harry Wilson,wls WAL,FW,Fulham,27-212,1997,4,0,50,0.6,0,0,0,0,0,0,1,0,0,0,0,0,2,2,7,0,0,0,0,0,0,0,0,0,0,Matches
Harry Winks,eng ENG,MF,Leicester City,28-261,1996,7,6,585,6.5,0,1,1,0,0,0,2,0,0,0,0.5,0.5,5,33,4,0,0.15,0.15,0,0.15,0,0.07,0.07,0,0.07,Matches
Harvey Barnes,eng ENG,FW,Newcastle Utd,26-316,1997,8,4,411,4.6,3,1,4,3,0,0,0,0,1.9,1.9,1.9,3.8,22,23,43,0.66,0.22,0.88,0.66,0.88,0.41,0.42,0.83,0.41,0.83,Matches
Harvey Elliott,eng ENG,FW,Liverpool,21-199,2003,1,0,8,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,Matches
Hwang Hee-chan,kr KOR,"FW,MF",Wolves,28-268,1996,6,2,256,2.8,0,0,0,0,0,0,0,0,0,0,0.1,0.1,5,3,7,0,0,0,0,0,0,0.04,0.04,0,0.04,Matches
Ian Maatsen,nl NED,"DF,MF",Aston Villa,22-224,2002,7,0,124,1.4,0,0,0,0,0,0,0,0,0,0,0.8,0.9,3,8,10,0,0,0,0,0,0.01,0.62,0.62,0.01,0.62,Matches
Ibrahim Sangaré,ci CIV,MF,Nott'ham Forest,26-323,1997,3,3,212,2.4,0,0,0,0,0,0,2,0,0,0,0,0,0,8,2,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01,Matches
Ibrahima Konaté,fr FRA,DF,Liverpool,25-148,1999,7,6,569,6.3,1,1,2,1,0,0,2,0,0.4,0.4,0.2,0.6,3,22,0,0.16,0.16,0.32,0.16,0.32,0.06,0.03,0.09,0.06,0.09,Matches
Idrissa Gana Gueye,sn SEN,MF,Everton,35-024,1989,7,5,464,5.2,0,0,0,0,0,0,0,0,0.6,0.6,0,0.6,5,20,4,0,0,0,0,0,0.11,0,0.11,0.11,0.11,Matches
Igor,br BRA,DF,Brighton,26-256,1998,3,1,206,2.3,0,0,0,0,0,0,1,0,0.1,0.1,0,0.1,3,10,0,0,0,0,0,0,0.03,0,0.03,0.03,0.03,Matches
Iliman Ndiaye,sn SEN,FW,Everton,24-228,2000,8,6,565,6.3,2,0,2,2,0,0,1,0,0.8,0.8,0.4,1.2,28,13,28,0.32,0,0.32,0.32,0.32,0.13,0.07,0.2,0.13,0.2,Matches
Illia Zabarnyi,ua UKR,DF,Bournemouth,22-049,2002,8,8,720,8,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.4,2,33,1,0,0,0,0,0,0.04,0.01,0.05,0.04,0.05,Matches
Ismaila Sarr,sn SEN,"FW,MF",Crystal Palace,26-238,1998,7,1,223,2.5,0,0,0,0,0,0,1,0,0.6,0.6,0.9,1.5,3,3,21,0,0,0,0,0,0.23,0.37,0.59,0.23,0.59,Matches
Issa Diop,fr FRA,DF,Fulham,27-285,1997,6,3,303,3.4,0,0,0,0,0,0,1,0,0.2,0.2,0,0.2,0,10,1,0,0,0,0,0,0.06,0.01,0.07,0.06,0.07,Matches
Jack Clarke,eng ENG,FW,Ipswich Town,23-332,2000,6,3,303,3.4,0,1,1,0,0,0,1,0,0.6,0.6,0.8,1.3,5,8,18,0,0.3,0.3,0,0.3,0.16,0.23,0.4,0.16,0.4,Matches
Jack Grealish,eng ENG,"FW,MF",Manchester City,29-040,1995,6,4,328,3.6,0,1,1,0,0,0,2,0,0.5,0.5,0.9,1.4,37,14,56,0,0.27,0.27,0,0.27,0.14,0.24,0.38,0.14,0.38,Matches
Jack Harrison,eng ENG,FW,Everton,27-335,1996,8,6,525,5.8,0,0,0,0,0,0,0,0,0.8,0.8,1.4,2.2,16,12,42,0,0,0,0,0,0.14,0.24,0.38,0.14,0.38,Matches
Jack Hinshelwood,eng ENG,"DF,MF",Brighton,19-192,2005,8,8,697,7.7,1,0,1,1,0,0,2,0,0.4,0.4,0.3,0.7,8,26,28,0.13,0,0.13,0.13,0.13,0.05,0.04,0.09,0.05,0.09,Matches
Jack Stephens,eng ENG,DF,Southampton,30-267,1994,4,4,348,3.9,0,0,0,0,0,0,1,1,0.2,0.2,0,0.3,6,23,0,0,0,0,0,0,0.06,0.01,0.07,0.06,0.07,Matches
Jack Taylor,ie IRL,MF,Ipswich Town,26-119,1998,6,0,134,1.5,0,0,0,0,0,0,2,0,0.3,0.3,0,0.3,2,12,4,0,0,0,0,0,0.2,0,0.2,0.2,0.2,Matches
Jacob Greaves,eng ENG,DF,Ipswich Town,24-038,2000,7,7,630,7,0,0,0,0,0,0,1,0,0.4,0.4,0,0.4,1,14,2,0,0,0,0,0,0.06,0,0.06,0.06,0.06,Matches
Jacob Murphy,eng ENG,FW,Newcastle Utd,29-239,1995,8,6,473,5.3,0,2,2,0,0,0,1,0,0.3,0.3,1.4,1.7,14,26,39,0,0.38,0.38,0,0.38,0.06,0.26,0.32,0.06,0.32,Matches
Jacob Ramsey,eng ENG,"FW,MF",Aston Villa,23-145,2001,7,4,419,4.7,0,2,2,0,0,0,0,0,0.5,0.5,1.2,1.7,17,18,37,0,0.43,0.43,0,0.43,0.12,0.25,0.37,0.12,0.37,Matches
Jaden Philogene Bidace,eng ENG,"FW,MF",Aston Villa,22-255,2002,5,1,164,1.8,0,0,0,0,0,0,3,1,0.2,0.2,0,0.2,0,2,6,0,0,0,0,0,0.12,0,0.12,0.12,0.12,Matches
Jadon Sancho,eng ENG,FW,Chelsea,24-209,2000,4,3,260,2.9,0,3,3,0,0,0,1,0,0.1,0.1,1.1,1.2,14,14,31,0,1.04,1.04,0,1.04,0.03,0.38,0.41,0.03,0.41,Matches
Jake O'Brien,ie IRL,DF,Everton,23-158,2001,1,0,27,0.3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Matches
Jakub Kiwior,pl POL,DF,Arsenal,24-248,2000,3,0,62,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
James Garner,eng ENG,"DF,MF",Everton,23-221,2001,4,2,253,2.8,0,0,0,0,0,0,1,0,0,0,0,0.1,1,3,4,0,0,0,0,0,0.02,0.01,0.02,0.02,0.02,Matches
James Justin,eng ENG,DF,Leicester City,26-240,1998,8,8,720,8,2,1,3,2,0,0,1,0,0.4,0.4,0.3,0.7,7,16,14,0.25,0.12,0.37,0.25,0.37,0.05,0.03,0.08,0.05,0.08,Matches
James Maddison,eng ENG,MF,Tottenham,27-332,1996,8,8,608,6.8,2,3,5,2,0,0,2,0,2.1,2.1,1.8,3.9,16,59,41,0.3,0.44,0.74,0.3,0.74,0.32,0.27,0.58,0.32,0.58,Matches
James Mcatee,eng ENG,FW,Manchester City,22-002,2002,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
James Milner,eng ENG,MF,Brighton,38-290,1986,3,3,169,1.9,0,0,0,0,0,0,1,0,0.2,0.2,0.2,0.4,1,10,10,0,0,0,0,0,0.09,0.12,0.21,0.09,0.21,Matches
James Tarkowski,eng ENG,DF,Everton,31-336,1992,8,8,720,8,0,0,0,0,0,0,1,0,0.6,0.6,0.4,1,1,12,1,0,0,0,0,0,0.08,0.05,0.12,0.08,0.12,Matches
James Ward-Prowse,eng ENG,MF,West Ham,29-354,1994,1,0,18,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,Matches
James Ward-Prowse,eng ENG,MF,Nott'ham Forest,29-354,1994,4,4,286,3.2,0,0,0,0,0,0,2,1,0.1,0.1,0,0.1,1,11,1,0,0,0,0,0,0.02,0.01,0.02,0.02,0.02,Matches
Jamie Vardy,eng ENG,FW,Leicester City,37-283,1987,8,8,663,7.4,3,0,3,2,1,1,3,0,2.9,2.1,0.2,2.4,7,7,26,0.41,0,0.41,0.27,0.27,0.4,0.03,0.43,0.29,0.32,Matches
Jan Bednarek,pl POL,DF,Southampton,28-191,1996,8,8,710,7.9,0,0,0,0,0,0,2,0,0,0,0.4,0.4,2,22,1,0,0,0,0,0,0,0.06,0.06,0,0.06,Matches
Jan Paul van Hecke,nl NED,DF,Brighton,24-134,2000,6,5,460,5.1,0,1,1,0,0,0,1,0,0.1,0.1,0.1,0.2,8,46,0,0,0.2,0.2,0,0.2,0.01,0.02,0.03,0.01,0.03,Matches
Jannik Vestergaard,dk DEN,DF,Leicester City,32-078,1992,2,2,180,2,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,Matches
Jarell Quansah,eng ENG,DF,Liverpool,21-265,2003,1,1,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Jarrad Branthwaite,eng ENG,DF,Everton,22-115,2002,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Matches
Jarrod Bowen,eng ENG,"MF,FW",West Ham,27-305,1996,8,8,696,7.7,2,2,4,2,0,0,0,0,1,1,2.4,3.3,30,29,43,0.26,0.26,0.52,0.26,0.52,0.12,0.31,0.43,0.12,0.43,Matches
Jason Steele,eng ENG,GK,Brighton,34-063,1990,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Jay Stansfield,eng ENG,MF,Fulham,21-331,2002,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Jean-Clair Todibo,fr FRA,DF,West Ham,24-295,1999,5,3,278,3.1,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,1,1,1,0,0,0,0,0,0.03,0,0.03,0.03,0.03,Matches
Jean-Philippe Mateta,fr FRA,FW,Crystal Palace,27-114,1997,7,6,459,5.1,2,0,2,1,1,1,0,0,1.7,0.9,0.7,1.6,3,8,20,0.39,0,0.39,0.2,0.2,0.34,0.14,0.47,0.18,0.32,Matches
Jean-Ricner Bellegarde,fr FRA,"MF,FW",Wolves,26-115,1998,7,6,402,4.5,1,1,2,1,0,0,1,0,0.3,0.3,0.3,0.6,13,5,21,0.22,0.22,0.45,0.22,0.45,0.07,0.06,0.13,0.07,0.13,Matches
Jefferson Lerma,co COL,"MF,DF",Crystal Palace,29-361,1994,5,3,304,3.4,0,0,0,0,0,0,2,0,0.1,0.1,0.8,0.8,2,20,9,0,0,0,0,0,0.03,0.22,0.25,0.03,0.25,Matches
Jeffrey Schlupp,gh GHA,"MF,DF",Crystal Palace,31-302,1992,5,0,33,0.4,0,0,0,0,0,0,0,0,0,0,0.1,0.1,2,1,4,0,0,0,0,0,0.12,0.22,0.34,0.12,0.34,Matches
Jens Cajuste,se SWE,MF,Ipswich Town,25-071,1999,2,1,80,0.9,0,0,0,0,0,0,0,0,0,0,0.1,0.1,2,3,1,0,0,0,0,0,0.03,0.09,0.11,0.03,0.11,Matches
Jeremy Doku,be BEL,FW,Manchester City,22-146,2002,6,4,335,3.7,1,0,1,1,0,0,0,0,0.3,0.3,1,1.3,40,11,51,0.27,0,0.27,0.27,0.27,0.08,0.28,0.36,0.08,0.36,Matches
Jeremy Sarmiento,ec ECU,MF,Brighton,22-126,2002,1,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,Matches
Jesper Lindstrøm,dk DEN,FW,Everton,24-234,2000,4,2,149,1.7,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1.1,3,2,10,0,0,0,0,0,0.31,0.33,0.64,0.31,0.64,Matches
Jhon Durán,co COL,FW,Aston Villa,20-312,2003,8,0,207,2.3,4,0,4,4,0,0,1,0,2.1,2.1,0,2.1,3,5,15,1.74,0,1.74,1.74,1.74,0.9,0.02,0.92,0.9,0.92,Matches
Joachim Andersen,dk DEN,DF,Crystal Palace,28-142,1996,1,1,90,1,0,0,0,0,0,0,1,0,0,0,0,0,1,4,1,0,0,0,0,0,0.04,0,0.04,0.04,0.04,Matches
Joachim Andersen,dk DEN,DF,Fulham,28-142,1996,5,5,423,4.7,0,0,0,0,0,0,0,1,0.1,0.1,0.2,0.4,3,16,0,0,0,0,0,0,0.03,0.05,0.08,0.03,0.08,Matches
Joe Aribo,ng NGA,MF,Southampton,28-091,1996,7,5,451,5,1,0,1,1,0,0,0,0,1.2,1.2,0.7,1.9,16,22,26,0.2,0,0.2,0.2,0.2,0.25,0.13,0.38,0.25,0.38,Matches
Joe Gomez,eng ENG,DF,Liverpool,27-150,1997,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Joe Willock,eng ENG,"MF,FW",Newcastle Utd,25-061,1999,6,1,174,1.9,0,1,1,0,0,0,0,0,0.2,0.2,0.6,0.8,9,11,16,0,0.52,0.52,0,0.52,0.09,0.33,0.42,0.09,0.42,Matches
Joelinton,br BRA,MF,Newcastle Utd,28-067,1996,8,8,658,7.3,1,0,1,1,0,0,4,0,1.7,1.7,0.7,2.4,12,32,32,0.14,0,0.14,0.14,0.14,0.23,0.09,0.32,0.23,0.32,Matches
John McGinn,sct SCO,"FW,MF",Aston Villa,30-002,1994,6,5,357,4,0,0,0,0,0,0,1,0,0.5,0.5,0.1,0.6,10,14,20,0,0,0,0,0,0.12,0.03,0.16,0.12,0.16,Matches
John Stones,eng ENG,"DF,MF",Manchester City,30-145,1994,4,1,150,1.7,1,0,1,1,0,0,1,0,0.2,0.2,0,0.2,2,2,0,0.6,0,0.6,0.6,0.6,0.11,0,0.11,0.11,0.11,Matches
Jonny Evans,nir NIR,DF,Manchester Utd,36-291,1988,4,2,202,2.2,0,0,0,0,0,0,1,0,0.1,0.1,0,0.1,1,8,2,0,0,0,0,0,0.05,0,0.05,0.05,0.05,Matches
Jordan Ayew,gh GHA,"FW,MF",Crystal Palace,33-039,1991,1,0,21,0.2,0,0,0,0,0,0,1,0,0.5,0.5,0,0.5,0,0,1,0,0,0,0,0,1.96,0.21,2.17,1.96,2.17,Matches
Jordan Ayew,gh GHA,"FW,MF",Leicester City,33-039,1991,7,4,382,4.2,1,0,1,1,0,0,2,0,0.4,0.4,0.1,0.5,7,9,13,0.24,0,0.24,0.24,0.24,0.1,0.02,0.11,0.1,0.11,Matches
Jordan Pickford,eng ENG,GK,Everton,30-227,1994,8,8,720,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Jorginho,it ITA,MF,Arsenal,32-305,1991,2,2,150,1.7,0,0,0,0,0,0,1,0,0,0,0,0.1,2,8,0,0,0,0,0,0,0.02,0.02,0.05,0.02,0.05,Matches
Joshua Zirkzee,nl NED,FW,Manchester Utd,23-151,2001,8,4,399,4.4,1,0,1,1,0,0,1,0,2.4,2.4,0.3,2.8,2,11,19,0.23,0,0.23,0.23,0.23,0.55,0.08,0.63,0.55,0.63,Matches
