Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
José Sá,pt POR,GK,Wolves,31-277,1993,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0.03,0.03,0,0.03,Matches
Jota Silva,pt POR,"MF,FW",Nott'ham Forest,25-080,1999,6,0,116,1.3,0,1,1,0,0,0,1,0,0.2,0.2,0.7,0.9,5,5,6,0,0.78,0.78,0,0.78,0.16,0.53,0.69,0.16,0.69,Matches
Jo?o Félix,pt POR,"MF,FW",Chelsea,24-345,1999,5,0,122,1.4,1,0,1,1,0,0,1,0,0.7,0.7,0,0.7,7,8,11,0.74,0,0.74,0.74,0.74,0.51,0.02,0.52,0.51,0.52,Matches
Jo?o Gomes,br BRA,MF,Wolves,23-251,2001,7,7,569,6.3,0,0,0,0,0,0,3,0,0.2,0.2,0,0.2,13,27,10,0,0,0,0,0,0.03,0,0.03,0.03,0.03,Matches
Jo?o Pedro,br BRA,"MF,FW",Brighton,23-024,2001,4,3,281,3.1,2,0,2,2,0,0,1,0,0.8,0.8,0.2,1.1,14,14,16,0.64,0,0.64,0.64,0.64,0.27,0.07,0.34,0.27,0.34,Matches
Joël Veltman,nl NED,DF,Brighton,32-279,1992,7,7,611,6.8,0,0,0,0,0,0,1,0,0.1,0.1,0.3,0.3,15,23,14,0,0,0,0,0,0.01,0.04,0.05,0.01,0.05,Matches
Jo?ko Gvardiol,hr CRO,DF,Manchester City,22-271,2002,7,6,582,6.5,1,0,1,1,0,0,0,0,0.4,0.4,0.5,0.9,17,50,12,0.15,0,0.15,0.15,0.15,0.06,0.08,0.14,0.06,0.14,Matches
Julian Araujo,mx MEX,DF,Bournemouth,23-068,2001,6,4,319,3.5,0,0,0,0,0,0,0,0,0,0,0,0,2,12,11,0,0,0,0,0,0,0,0,0,0,Matches
Julio Enciso,py PAR,"MF,FW",Brighton,20-271,2004,6,0,89,1,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4,4,5,7,0,0,0,0,0,0.18,0.21,0.39,0.18,0.39,Matches
Jurriën Timber,nl NED,DF,Arsenal,23-125,2001,6,5,448,5,0,1,1,0,0,0,2,0,0.3,0.3,0.4,0.7,7,17,17,0,0.2,0.2,0,0.2,0.06,0.09,0.14,0.06,0.14,Matches
Justin Kluivert,nl NED,"MF,FW",Bournemouth,25-168,1999,8,5,411,4.6,1,2,3,0,1,1,3,0,1.5,0.7,0.9,1.7,10,15,32,0.22,0.44,0.66,0,0.44,0.33,0.2,0.54,0.16,0.37,Matches
Jørgen Strand Larsen,no NOR,FW,Wolves,24-257,2000,7,7,564,6.3,2,1,3,2,0,0,0,0,1.1,1.1,0.8,1.9,3,5,16,0.32,0.16,0.48,0.32,0.48,0.18,0.13,0.3,0.18,0.3,Matches
Kai Havertz,de GER,"FW,MF",Arsenal,25-131,1999,8,8,720,8,4,1,5,4,0,0,0,0,4.4,4.4,0.9,5.3,18,27,48,0.5,0.12,0.62,0.5,0.62,0.55,0.11,0.66,0.55,0.66,Matches
Kalvin Phillips,eng ENG,MF,Ipswich Town,28-323,1995,5,5,371,4.1,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,2,21,0,0,0,0,0,0,0.03,0.02,0.06,0.03,0.06,Matches
Kamaldeen Sulemana,gh GHA,FW,Southampton,22-248,2002,1,0,13,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.14,0,0.14,0.14,0.14,Matches
Kaoru Mitoma,jp JPN,"FW,MF",Brighton,27-153,1997,8,7,652,7.2,1,2,3,1,0,0,0,0,2,2,2.1,4.2,48,23,84,0.14,0.28,0.41,0.14,0.41,0.28,0.29,0.57,0.28,0.57,Matches
Kasey McAteer,ie IRL,"DF,FW",Leicester City,22-333,2001,3,0,12,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0.17,0,0.17,0.17,0.17,Matches
Keane Lewis-Potter,eng ENG,"FW,DF",Brentford,23-241,2001,8,6,523,5.8,0,1,1,0,0,0,1,0,0.4,0.4,0.5,0.9,11,16,32,0,0.17,0.17,0,0.17,0.07,0.09,0.16,0.07,0.16,Matches
Kenny Tete,nl NED,DF,Fulham,29-011,1995,8,8,706,7.8,0,0,0,0,0,0,2,0,0.8,0.8,0,0.8,22,20,19,0,0,0,0,0,0.1,0,0.11,0.1,0.11,Matches
Kepa Arrizabalaga,es ESP,GK,Bournemouth,30-017,1994,5,5,450,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Kevin De Bruyne,be BEL,MF,Manchester City,33-114,1991,4,4,356,4,1,1,2,1,0,0,1,0,1.2,1.2,1.7,2.9,10,47,32,0.25,0.25,0.51,0.25,0.51,0.31,0.43,0.74,0.31,0.74,Matches
Kevin Schade,de GER,"FW,MF",Brentford,22-328,2001,8,5,447,5,0,0,0,0,0,0,0,0,1.1,1.1,0.1,1.2,13,4,30,0,0,0,0,0,0.22,0.03,0.25,0.22,0.25,Matches
Kieran Trippier,eng ENG,DF,Newcastle Utd,34-031,1990,5,3,280,3.1,0,0,0,0,0,0,0,0,0,0,0.2,0.2,5,19,12,0,0,0,0,0,0.01,0.06,0.07,0.01,0.07,Matches
Kiernan Dewsbury-Hall,eng ENG,MF,Chelsea,26-044,1998,3,0,46,0.5,0,0,0,0,0,0,0,0,0,0,0.1,0.1,3,2,1,0,0,0,0,0,0,0.18,0.18,0,0.18,Matches
Kobbie Mainoo,eng ENG,MF,Manchester Utd,19-184,2005,7,7,571,6.3,0,0,0,0,0,0,4,0,0.1,0.1,0.7,0.8,5,24,11,0,0,0,0,0,0.02,0.11,0.13,0.02,0.13,Matches
Konstantinos Mavropanos,gr GRE,DF,West Ham,26-314,1997,7,5,515,5.7,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,5,13,2,0,0,0,0,0,0.04,0,0.04,0.04,0.04,Matches
Kosta Nedeljkovi?,rs SRB,DF,Aston Villa,18-309,2005,3,0,96,1.1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,Matches
Kostas Tsimikas,gr GRE,DF,Liverpool,28-161,1996,4,1,114,1.3,0,0,0,0,0,0,0,0,0,0,0,0,5,19,5,0,0,0,0,0,0.02,0,0.02,0.02,0.02,Matches
Kristoffer Ajer,no NOR,DF,Brentford,26-186,1998,8,8,636,7.1,0,0,0,0,0,0,3,0,0.3,0.3,0.2,0.5,15,25,12,0,0,0,0,0,0.04,0.03,0.07,0.04,0.07,Matches
Kyle Walker,eng ENG,DF,Manchester City,34-145,1990,5,3,289,3.2,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.4,6,25,1,0,0,0,0,0,0.04,0.09,0.14,0.04,0.14,Matches
Kyle Walker-Peters,eng ENG,DF,Southampton,27-190,1997,6,6,530,5.9,0,1,1,0,0,0,1,0,0.2,0.2,0.6,0.9,28,32,15,0,0.17,0.17,0,0.17,0.04,0.11,0.15,0.04,0.15,Matches
Lamare Bogarde,nl NED,DF,Aston Villa,20-289,2004,2,2,168,1.9,0,0,0,0,0,0,1,0,0,0,0.1,0.1,3,6,5,0,0,0,0,0,0,0.04,0.04,0,0.04,Matches
Leandro Trossard,be BEL,FW,Arsenal,29-321,1994,8,5,401,4.5,2,0,2,2,0,0,2,1,1.5,1.5,0.7,2.2,11,16,23,0.45,0,0.45,0.45,0.45,0.33,0.16,0.49,0.33,0.49,Matches
Leif Davis,eng ENG,DF,Ipswich Town,24-282,2000,8,8,720,8,0,1,1,0,0,0,0,0,0.3,0.3,1.6,1.9,15,21,33,0,0.12,0.12,0,0.12,0.04,0.2,0.23,0.04,0.23,Matches
Leon Bailey,jm JAM,"FW,MF",Aston Villa,27-072,1997,7,6,408,4.5,0,1,1,0,0,0,2,0,0.4,0.4,0.8,1.2,20,16,37,0,0.22,0.22,0,0.22,0.08,0.18,0.26,0.08,0.26,Matches
Lesley Ugochukwu,fr FRA,MF,Southampton,20-208,2004,3,2,140,1.6,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4,3,1,1,0,0,0,0,0,0.14,0.12,0.26,0.14,0.26,Matches
Levi Colwill,eng ENG,DF,Chelsea,21-237,2003,7,7,629,7,0,0,0,0,0,0,2,0,0.2,0.2,0.6,0.8,3,28,0,0,0,0,0,0,0.02,0.09,0.11,0.02,0.11,Matches
Lewis Cook,eng ENG,MF,Bournemouth,27-260,1997,8,8,713,7.9,1,2,3,1,0,0,3,0,0.3,0.3,1.8,2.2,7,45,10,0.13,0.25,0.38,0.13,0.38,0.04,0.23,0.27,0.04,0.27,Matches
Lewis Dunk,eng ENG,DF,Brighton,32-334,1991,8,8,705,7.8,0,0,0,0,0,0,2,0,0.2,0.2,0.4,0.7,8,56,1,0,0,0,0,0,0.03,0.05,0.09,0.03,0.09,Matches
Lewis Hall,eng ENG,DF,Newcastle Utd,20-042,2004,8,5,518,5.8,0,0,0,0,0,0,3,0,0,0,0.6,0.6,13,38,18,0,0,0,0,0,0,0.11,0.11,0,0.11,Matches
Liam Delap,eng ENG,FW,Ipswich Town,21-255,2003,8,8,614,6.8,4,0,4,4,0,0,2,0,1.3,1.3,0.3,1.6,13,4,29,0.59,0,0.59,0.59,0.59,0.19,0.05,0.24,0.19,0.24,Matches
Lisandro Martínez,ar ARG,DF,Manchester Utd,26-276,1998,7,7,616,6.8,0,0,0,0,0,0,3,0,0.8,0.8,0.1,0.9,5,37,4,0,0,0,0,0,0.12,0.02,0.14,0.12,0.14,Matches
Lloyd Kelly,eng ENG,DF,Newcastle Utd,26-014,1998,5,3,205,2.3,0,1,1,0,0,0,1,0,0.2,0.2,0.5,0.6,0,6,2,0,0.44,0.44,0,0.44,0.08,0.2,0.28,0.08,0.28,Matches
Lucas Bergvall,se SWE,"MF,FW",Tottenham,18-261,2006,5,0,51,0.6,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,1,4,3,0,0,0,0,0,0.14,0.34,0.48,0.14,0.48,Matches
Lucas Digne,fr FRA,DF,Aston Villa,31-092,1993,8,8,608,6.8,0,2,2,0,0,0,2,0,0.3,0.3,1.1,1.3,4,12,34,0,0.3,0.3,0,0.3,0.04,0.16,0.2,0.04,0.2,Matches
Lucas Paquetá,br BRA,MF,West Ham,27-054,1997,8,7,586,6.5,2,0,2,1,1,1,2,0,2,1.2,0.6,1.9,6,40,23,0.31,0,0.31,0.15,0.15,0.31,0.09,0.41,0.19,0.28,Matches
Luis Díaz,co COL,FW,Liverpool,27-281,1997,7,6,446,5,5,1,6,5,0,0,0,0,2.7,2.7,1.1,3.7,23,16,48,1.01,0.2,1.21,1.01,1.21,0.54,0.21,0.75,0.54,0.75,Matches
Luis Guilherme,br BRA,MF,West Ham,18-254,2006,1,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Luis Sinisterra,co COL,"FW,MF",Bournemouth,25-125,1999,8,1,208,2.3,1,1,2,1,0,0,0,0,1.1,1.1,1,2.1,14,3,29,0.43,0.43,0.87,0.43,0.87,0.48,0.44,0.92,0.48,0.92,Matches
Luke Woolfenden,eng ENG,DF,Ipswich Town,25-365,1998,4,4,360,4,0,0,0,0,0,0,1,0,0,0,0,0,3,9,0,0,0,0,0,0,0.01,0,0.01,0.01,0.01,Matches
Mads Hermansen,dk DEN,GK,Leicester City,24-101,2000,8,8,720,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Mads Roerslev,dk DEN,DF,Brentford,25-118,1999,7,2,268,3,0,0,0,0,0,0,0,0,0,0,0.2,0.2,3,13,10,0,0,0,0,0,0,0.06,0.06,0,0.06,Matches
Malo Gusto,fr FRA,DF,Chelsea,21-154,2003,5,5,433,4.8,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,8,19,18,0,0,0,0,0,0.03,0.02,0.05,0.03,0.05,Matches
Manuel Akanji,ch SUI,DF,Manchester City,29-093,1995,7,7,601,6.7,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.2,14,63,3,0,0,0,0,0,0.01,0.02,0.04,0.01,0.04,Matches
Manuel Ugarte Ribeiro,uy URU,MF,Manchester Utd,23-192,2001,4,1,108,1.2,0,0,0,0,0,0,1,0,0,0,0,0,1,3,3,0,0,0,0,0,0,0,0,0,0,Matches
Marc Cucurella,es ESP,DF,Chelsea,26-090,1998,7,7,590,6.6,0,0,0,0,0,0,5,0,0,0,0.2,0.2,7,19,16,0,0,0,0,0,0,0.03,0.03,0,0.03,Matches
Marc Guiu,es ESP,FW,Chelsea,18-290,2006,1,0,24,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Marc Guéhi,eng ENG,DF,Crystal Palace,24-099,2000,7,7,630,7,1,0,1,1,0,0,1,0,0.2,0.2,0,0.2,3,26,0,0.14,0,0.14,0.14,0.14,0.03,0.01,0.03,0.03,0.03,Matches
Marcos Senesi,ar ARG,DF,Bournemouth,27-163,1997,6,6,526,5.8,0,0,0,0,0,0,3,0,0.1,0.1,0.2,0.4,6,27,3,0,0,0,0,0,0.02,0.04,0.06,0.02,0.06,Matches
Marcus Harness,eng ENG,MF,Ipswich Town,28-239,1996,2,0,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,Matches
Marcus Rashford,eng ENG,FW,Manchester Utd,26-355,1997,8,7,571,6.3,1,1,2,1,0,0,1,0,0.7,0.7,1.8,2.5,15,15,45,0.16,0.16,0.32,0.16,0.32,0.1,0.29,0.39,0.1,0.39,Matches
Marcus Tavernier,eng ENG,"MF,FW",Bournemouth,25-212,1999,8,8,663,7.4,1,1,2,1,0,0,1,0,2.4,2.4,1.2,3.6,17,44,41,0.14,0.14,0.27,0.14,0.27,0.33,0.17,0.49,0.33,0.49,Matches
Mario Lemina,ga GAB,"MF,FW",Wolves,31-049,1993,7,7,629,7,1,1,2,1,0,0,2,0,1,1,0.3,1.3,3,21,13,0.14,0.14,0.29,0.14,0.29,0.15,0.04,0.18,0.15,0.18,Matches
Mark Flekken,nl NED,GK,Brentford,31-129,1993,8,8,720,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Mark Travers,ie IRL,GK,Bournemouth,25-155,1999,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Martin Ødegaard,no NOR,MF,Arsenal,25-308,1998,3,3,253,2.8,0,0,0,0,0,0,1,0,0.4,0.4,0.3,0.7,8,19,11,0,0,0,0,0,0.16,0.1,0.26,0.16,0.26,Matches
Mason Holgate,eng ENG,"FW,DF",Everton,27-364,1996,1,0,6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Mason Mount,eng ENG,"MF,FW",Manchester Utd,25-284,1999,3,2,145,1.6,0,0,0,0,0,0,2,0,0.4,0.4,0.1,0.5,1,4,4,0,0,0,0,0,0.24,0.07,0.3,0.24,0.3,Matches
Massimo Luongo,au AUS,MF,Ipswich Town,32-025,1992,4,2,142,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,Matches
Mateo Kova?i?,hr CRO,MF,Manchester City,30-167,1994,7,6,524,5.8,3,0,3,3,0,0,2,0,0.7,0.7,0.3,0.9,20,31,7,0.52,0,0.52,0.52,0.52,0.11,0.05,0.16,0.11,0.16,Matches
Mateus Fernandes,pt POR,MF,Southampton,20-102,2004,7,5,438,4.9,0,1,1,0,0,0,2,0,0.4,0.4,0.8,1.2,12,22,19,0,0.21,0.21,0,0.21,0.09,0.16,0.25,0.09,0.25,Matches
Matheus Cunha,br BRA,"MF,FW",Wolves,25-146,1999,7,6,551,6.1,3,0,3,3,0,0,1,0,1.9,1.9,1,2.9,22,22,39,0.49,0,0.49,0.49,0.49,0.32,0.16,0.48,0.32,0.48,Matches
Matheus Nunes,pt POR,"FW,MF",Manchester City,26-054,1998,4,0,23,0.3,0,1,1,0,0,0,0,0,0,0,0.5,0.5,2,1,6,0,3.91,3.91,0,3.91,0,2.14,2.14,0,2.14,Matches
Mathias Jensen,dk DEN,MF,Brentford,28-293,1996,3,3,238,2.6,0,1,1,0,0,0,1,0,0.1,0.1,0.7,0.8,1,12,11,0,0.38,0.38,0,0.38,0.04,0.28,0.32,0.04,0.32,Matches
Mats Wieffer,nl NED,MF,Brighton,24-339,1999,5,2,212,2.4,0,1,1,0,0,0,0,0,0.2,0.2,0.1,0.3,3,16,2,0,0.42,0.42,0,0.42,0.07,0.04,0.12,0.07,0.12,Matches
Matt Doherty,ie IRL,DF,Wolves,32-278,1992,4,2,210,2.3,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,1,6,8,0,0,0,0,0,0.03,0.06,0.1,0.03,0.1,Matches
Matthijs de Ligt,nl NED,DF,Manchester Utd,25-069,1999,8,5,491,5.5,1,0,1,1,0,0,1,0,1.1,1.1,0.1,1.2,3,8,1,0.18,0,0.18,0.18,0.18,0.21,0.02,0.22,0.21,0.22,Matches
Matty Cash,pl POL,DF,Aston Villa,27-074,1997,4,4,276,3.1,0,0,0,0,0,0,0,0,0,0,0.1,0.1,7,11,5,0,0,0,0,0,0.01,0.03,0.04,0.01,0.04,Matches
Matz Sels,be BEL,GK,Nott'ham Forest,32-237,1992,7,7,630,7,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Matches
Max Kilman,eng ENG,DF,West Ham,27-150,1997,8,8,720,8,0,1,1,0,0,0,3,0,0.3,0.3,0.3,0.6,8,38,1,0,0.12,0.12,0,0.12,0.04,0.04,0.07,0.04,0.07,Matches
Maxence Lacroix,fr FRA,DF,Crystal Palace,24-197,2000,4,4,360,4,0,1,1,0,0,0,1,0,0.2,0.2,0.3,0.5,1,7,0,0,0.25,0.25,0,0.25,0.04,0.08,0.12,0.04,0.12,Matches
Maxwel Cornet,ci CIV,FW,Southampton,28-023,1996,2,1,72,0.8,0,0,0,0,0,0,1,0,0.2,0.2,0,0.2,1,0,5,0,0,0,0,0,0.2,0,0.2,0.2,0.2,Matches
Michael Keane,eng ENG,DF,Everton,31-283,1993,7,7,630,7,2,0,2,2,0,0,3,0,0.3,0.3,0.1,0.4,0,9,1,0.29,0,0.29,0.29,0.29,0.04,0.01,0.05,0.04,0.05,Matches
Michail Antonio,jm JAM,FW,West Ham,34-206,1990,8,7,488,5.4,1,1,2,1,0,0,1,0,1.8,1.8,0.7,2.6,12,10,30,0.18,0.18,0.37,0.18,0.37,0.34,0.13,0.47,0.34,0.47,Matches
Micky van de Ven,nl NED,DF,Tottenham,23-184,2001,7,7,620,6.9,0,2,2,0,0,0,3,0,0.1,0.1,1.2,1.3,8,41,1,0,0.29,0.29,0,0.29,0.02,0.17,0.19,0.02,0.19,Matches
Miguel Almirón,py PAR,FW,Newcastle Utd,30-253,1994,4,0,38,0.4,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4,1,4,6,0,0,0,0,0,0.45,0.42,0.88,0.45,0.88,Matches
Mikel Merino,es ESP,"MF,FW",Arsenal,28-120,1996,2,1,110,1.2,0,0,0,0,0,0,0,0,0.2,0.2,0.3,0.5,1,3,6,0,0,0,0,0,0.13,0.24,0.37,0.13,0.37,Matches
Mikey Moore,eng ENG,FW,Tottenham,17-070,2007,3,0,24,0.3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0.15,0,0.15,0.15,0.15,Matches
Mikkel Damsgaard,dk DEN,"MF,FW",Brentford,24-109,2000,8,6,553,6.1,0,3,3,0,0,0,0,0,0.4,0.4,2.1,2.5,16,39,20,0,0.49,0.49,0,0.49,0.06,0.34,0.4,0.06,0.4,Matches
Milos Kerkez,hu HUN,DF,Bournemouth,20-348,2003,8,8,667,7.4,0,0,0,0,0,0,2,0,0.1,0.1,0.2,0.3,23,40,27,0,0,0,0,0,0.02,0.03,0.05,0.01,0.04,Matches
Mohamed Salah,eg EGY,FW,Liverpool,32-127,1992,7,7,604,6.7,4,4,8,3,1,1,0,0,4.1,3.3,2.1,5.4,27,27,84,0.6,0.6,1.19,0.45,1.04,0.6,0.32,0.92,0.49,0.81,Matches
Mohammed Kudus,gh GHA,"MF,FW",West Ham,24-079,2000,8,8,663,7.4,2,0,2,2,0,0,0,1,2.9,2.9,0.8,3.7,37,20,66,0.27,0,0.27,0.27,0.27,0.4,0.11,0.51,0.4,0.51,Matches
Moisés Caicedo,ec ECU,MF,Chelsea,22-353,2001,7,7,615,6.8,0,1,1,0,0,0,2,0,0.2,0.2,1.1,1.3,7,27,10,0,0.15,0.15,0,0.15,0.02,0.16,0.18,0.02,0.18,Matches
Morato,br BRA,DF,Nott'ham Forest,23-112,2001,3,0,38,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Morgan Gibbs-White,eng ENG,MF,Nott'ham Forest,24-267,2000,6,6,506,5.6,1,0,1,1,0,0,3,1,0.8,0.8,0.8,1.7,11,28,24,0.18,0,0.18,0.18,0.18,0.15,0.15,0.3,0.15,0.3,Matches
Morgan Rogers,eng ENG,"MF,FW",Aston Villa,22-086,2002,8,8,685,7.6,2,2,4,2,0,0,2,0,1.6,1.6,2.1,3.7,24,24,44,0.26,0.26,0.53,0.26,0.53,0.21,0.28,0.49,0.21,0.49,Matches
Murillo,br BRA,DF,Nott'ham Forest,22-108,2002,7,7,630,7,0,0,0,0,0,0,1,0,0.1,0.1,0.4,0.4,8,16,0,0,0,0,0,0,0.01,0.06,0.06,0.01,0.06,Matches
Mykhailo Mudryk,ua UKR,FW,Chelsea,23-289,2001,4,1,83,0.9,0,0,0,0,0,0,0,0,0,0,1,1,5,5,5,0,0,0,0,0,0,1.05,1.05,0,1.05,Matches
Myles Lewis-Skelly,eng ENG,DF,Arsenal,18-024,2006,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Nathan Aké,nl NED,DF,Manchester City,29-245,1995,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Matches
Nathan Collins,ie IRL,DF,Brentford,23-173,2001,8,8,720,8,1,0,1,1,0,0,1,0,1.3,1.3,0.2,1.5,7,22,4,0.12,0,0.12,0.12,0.12,0.16,0.02,0.18,0.16,0.18,Matches
Nathaniel Clyne,eng ENG,"DF,MF",Crystal Palace,33-198,1991,3,2,227,2.5,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,0,0,0,0,0,0,0,0,0,0,Matches
Neco Williams,wls WAL,DF,Nott'ham Forest,23-190,2001,7,3,342,3.8,0,0,0,0,0,0,3,0,0.6,0.6,0.2,0.8,9,6,14,0,0,0,0,0,0.16,0.06,0.21,0.16,0.21,Matches
Neto,br BRA,GK,Bournemouth,35-093,1989,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Nick Pope,eng ENG,GK,Newcastle Utd,32-184,1992,8,8,720,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Niclas Füllkrug,de GER,FW,West Ham,31-254,1993,3,0,66,0.7,0,0,0,0,0,0,0,0,0.3,0.3,0,0.3,2,0,3,0,0,0,0,0,0.35,0,0.35,0.35,0.35,Matches
Nicolas Jackson,sn SEN,FW,Chelsea,23-122,2001,7,7,522,5.8,4,3,7,4,0,0,2,0,5.2,5.2,1,6.1,15,9,24,0.69,0.52,1.21,0.69,1.21,0.89,0.17,1.06,0.89,1.06,Matches
Nicolás Domínguez,ar ARG,"MF,FW",Nott'ham Forest,26-114,1998,5,2,177,2,0,0,0,0,0,0,1,0,0.1,0.1,0,0.2,1,6,4,0,0,0,0,0,0.07,0,0.08,0.07,0.08,Matches
Nikola Milenkovi?,rs SRB,DF,Nott'ham Forest,27-008,1997,6,6,540,6,0,1,1,0,0,0,0,0,1.1,1.1,0.2,1.3,0,7,0,0,0.17,0.17,0,0.17,0.18,0.04,0.22,0.18,0.22,Matches
Noni Madueke,eng ENG,FW,Chelsea,22-224,2002,6,6,477,5.3,4,0,4,4,0,0,0,0,1.9,1.9,1.1,3,29,13,44,0.75,0,0.75,0.75,0.75,0.36,0.2,0.56,0.36,0.56,Matches
